"max","min","mean","median","var","totalvar","auc","Xmax","Xmin","Xmean","Xmedian","Xvar","Xtotalvar","Xauc","Ymax","Ymin","Ymean","Ymedian","Yvar","Ytotalvar","Yauc","subcondition","glovecondition","subject","filecount","gesture"
"390","66","204.1125","202.5","4342.70870253165","6275","16329","4.7156862745098","2.37162162162162","3.72659979927812","3.74332944646409","0.220583688310208","45.9042794494803","298.12798394225","4.93939393939394","2.4070796460177","3.56041540745565","3.59861550253904","0.226447116221067","40.9080001789661","284.833232596452","flat","notgloved","DM","1","no"
"381","65","234.8625","232.5","3745.20870253165","5747","18789","4.55487804878049","2.61349693251534","3.57750429407133","3.56441896618733","0.213639400885771","40.7561627118607","286.200343525707","4.3864406779661","1.88333333333333","3.50490143009454","3.51721812623629","0.171331016487341","36.1320182326637","280.392114407563","flat","notgloved","DM","1","no"
"403","62","210.8875","210.5","3794.50617088608","5459","16871","4.36073059360731","2.5","3.61014977677478","3.66887255857471","0.155170623927734","38.611519355055","288.811982141982","4.88","2.16438356164384","3.54004643730114","3.62412941623401","0.254077829651941","48.4754987951063","283.203714984091","flat","notgloved","DM","1","no"
"380","80","198.3625","199.5","4146.76566455696","6282","15869","4.81818181818182","2.59550561797753","3.67206440781743","3.62979851031322","0.231178130744477","46.8982440938339","293.765152625395","4.90123456790123","2.21538461538462","3.53153753645983","3.51358159912377","0.215144875451868","46.1491943910618","282.523002916786","flat","notgloved","DM","1","no"
"344","61","221.0125","220.5","3354.74667721519","4807","17681","4.79166666666667","2.75621890547264","3.67633882767263","3.65144580819638","0.198298520610911","38.2443016141484","294.10710621381","5","2.59322033898305","3.58742911622251","3.64332399626517","0.236799139992757","43.6951201199915","286.994329297801","flat","notgloved","DM","2","no"
"401","105","237.025","240.5","3714.68291139241","5509","18962","4.552","2.17931034482759","3.67663507278657","3.6636678795519","0.173277281669707","37.6366877773196","294.130805822926","4.76811594202899","2.68263473053892","3.55837496691518","3.48554243542435","0.196973114390247","38.02382898041","284.669997353215","flat","notgloved","DM","2","no"
"364","80","222.925","223","4186.85506329114","5764","17834","4.35828877005348","2.51","3.53528320308675","3.51736437538019","0.153485799106264","37.0627884274688","282.82265624694","4.39622641509434","2.18","3.6142908222439","3.67433862433862","0.140952935467519","32.0056576597926","289.143265779512","flat","notgloved","DM","2","no"
"382","67","215.3625","214.5","4194.5378164557","5262","17229","4.81696428571429","2.7122641509434","3.71143777378329","3.68683172193609","0.192331227390405","40.1801270988255","296.915021902663","4.40689655172414","2.08196721311475","3.50355793665975","3.52900529625952","0.165662154623386","37.6594785968207","280.28463493278","flat","notgloved","DM","2","no"
"423","42","217.5125","216.5","4431.39224683544","6204","17401","5.06338028169014","2.69747899159664","3.79354017749155","3.75738648541073","0.230267896547797","38.4901699716122","303.483214199324","4.57446808510638","2.76635514018692","3.67703324226462","3.66502682596548","0.217903812293306","41.1418110776328","294.162659381169","flat","notgloved","DM","1","pat"
"410","52","216.8875","205","5679.77199367089","7070","17351","4.8643216080402","2.29166666666667","3.65098170072597","3.62942967884828","0.245292628837632","41.2039134699988","292.078536058078","4.9","2.33862433862434","3.57650337215131","3.53993779366025","0.20755680139811","39.7063813404166","286.120269772105","flat","notgloved","DM","1","pat"
"431","66","191.35","171.5","4294.98987341772","5150","15308","4.8956043956044","2.57948717948718","3.63112633075817","3.66718932546271","0.219071506818204","39.0401563309322","290.490106460653","4.70754716981132","2.24352331606218","3.46931671183832","3.48695162968519","0.310916772604854","46.9718225604595","277.545336947066","flat","notgloved","DM","1","pat"
"470","70","199.4375","186.5","4726.35047468354","4909","15955","4.6927374301676","2.68354430379747","3.69352335100285","3.68436703483432","0.204189705741963","37.2917352098878","295.481868080228","4.63636363636364","2.07142857142857","3.52635913368275","3.5352229601518","0.284390976757151","46.9842945688032","282.10873069462","flat","notgloved","DM","1","pat"
