"max","min","mean","median","var","totalvar","auc","Xmax","Xmin","Xmean","Xmedian","Xvar","Xtotalvar","Xauc","Ymax","Ymin","Ymean","Ymedian","Yvar","Ytotalvar","Yauc","subcondition","glovecondition","subject","filecount","gesture"
"470","84","265.025","256.5","10093.2398734177","4496","21202","4.96028037383178","1.52","3.50888539341691","3.53957305107927","0.391461186575684","32.8186585871809","280.710831473353","5.30588235294118","2.64429530201342","4.12241898547883","4.22109557109557","0.42035725393743","34.2447314019868","329.793518838307","flat","gloved","error","1","drag"
"547","121","280.4375","279","11606.8061708861","6087","22435","5.05844155844156","2.26808510638298","3.67291404133515","3.63833584715938","0.357235712530269","32.9340830081133","293.833123306812","4.88888888888889","2.41085271317829","3.75056286181509","3.80628266550523","0.255442752587635","30.9197706175535","300.045028945207","flat","gloved","error","1","drag"
"560","58","265.3","265.5","15360.8708860759","5951","21224","5.08923076923077","2.1551724137931","3.45823321725964","3.35276776940714","0.437064121128413","39.0553006052559","276.658657380771","5.34816753926702","2.22764227642276","3.8191551155429","3.97594417077176","0.86485178301124","36.8300920119062","305.532409243432","flat","gloved","error","2","drag"
"464","25","236.4125","233","7843.5871835443","5095","18913","5.32191780821918","1.93157894736842","3.43877686202674","3.45067698259188","0.712890067022385","38.540946863567","275.102148962139","5.39805825242718","2.11184210526316","3.63024057510206","3.62820765027322","0.405068094618101","33.4717513792901","290.419246008165","flat","gloved","error","2","drag"
"370","57","202.8","196","5604.99746835443","4025","16224","5.12162162162162","2.16267942583732","3.72361134814515","3.75899954477011","0.313488653295794","39.8856671368149","297.888907851612","5.01333333333333","2.07901907356948","3.53687457112597","3.57103703703704","0.596822715337875","33.4582148632168","282.949965690078","flat","gloved","error","2","drag"
"473","55","244.6","244.5","12373.5848101266","4891","19568","5.61450381679389","2.2","4.29248313662937","4.44341472765343","0.541534976244614","36.2186591258635","343.398650930349","4.5","1.82222222222222","3.28463826865437","3.25693101225016","0.423710016746834","31.6010305574371","262.77106149235","flat","gloved","error","2","drag"
"387","59","218.5875","217.5","3680.47325949367","5271","17487","5.00934579439252","2.52851711026616","3.75334765532776","3.7198345604945","0.228896799291754","39.0639238772872","300.267812426221","4.46666666666667","2.14018691588785","3.53959796794722","3.5103125289808","0.211297678132719","39.1929013723033","283.167837435778","flat","gloved","error","1","no"
"360","65","211.4875","210.5","4134.9871835443","4648","16919","4.77142857142857","2.57916666666667","3.63615806910417","3.64680830701503","0.184519528481264","43.2390625681804","290.892645528334","4.7827868852459","2.71296296296296","3.56209255040844","3.53577995206357","0.176017168940517","33.9938107509529","284.967404032675","flat","gloved","error","1","no"
"391","65","233.6125","234.5","3801.73401898734","4641","18689","4.55188679245283","2.69230769230769","3.67933651786301","3.71042321164193","0.18282398196095","41.7631077941191","294.346921429041","4.53164556962025","2.64240506329114","3.5573288227925","3.59259367113182","0.178291236836058","39.5507298657022","284.5863058234","flat","gloved","error","1","no"
"374","113","213.1375","205.5","3437.13275316456","4853","17051","4.60804020100502","2.70506912442396","3.69335226198472","3.65589264379587","0.15776449631592","36.7177223218383","295.468180958778","4.58695652173913","1.97575757575758","3.44001494721292","3.47296793803314","0.198334092591312","42.1553355703698","275.201195777034","flat","gloved","error","1","no"
"345","68","200.55","203.5","2988.90886075949","4378","16044","5.19117647058824","2.16666666666667","3.65394613328949","3.71455881622722","0.303492299086275","51.2196473811264","292.315690663159","4.92592592592593","2.68666666666667","3.59980578807869","3.59286505490272","0.22158672412433","44.1932159663033","287.984463046295","flat","gloved","error","2","no"
"366","96","201.85","198","3382.02784810127","5517","16148","4.57971014492754","2.49242424242424","3.58396292268101","3.62401649653397","0.209022547168144","41.0146316281472","286.717033814481","4.63265306122449","2.33333333333333","3.65803509686045","3.65354102167183","0.191962849683894","38.103445241601","292.642807748836","flat","gloved","error","2","no"
"418","64","216","214.5","4802.25316455696","6394","17280","4.75531914893617","2.70918367346939","3.60868783787555","3.59513888888889","0.198045810861397","40.6660374112349","288.695027030044","4.51666666666667","2.74603174603175","3.60836631142729","3.57826617826618","0.161871596738219","37.1198081674782","288.669304914183","flat","gloved","error","2","no"
"385","98","208.2","205","3748.06075949367","5561","16656","4.51630434782609","2.80508474576271","3.61783310673959","3.6496880733945","0.130517789191115","30.9199040527252","289.426648539168","4.52813852813853","2.60975609756098","3.64294566453924","3.65479353049185","0.187709018289031","37.7405441418424","291.435653163139","flat","gloved","error","2","no"
"415","70","222.625","216.5","6203.42721518987","6091","17810","4.81395348837209","2.78294573643411","3.97721998367989","4.03980952380952","0.214520477383706","37.563518027366","318.177598694391","4.55172413793103","2.97368421052632","3.62426365127181","3.57486221677893","0.141561589776588","33.2771350852953","289.941092101745","flat","gloved","error","1","pat"
"394","87","198.75","201.5","4515.32911392405","5982","15900","4.66666666666667","2.60571428571429","3.86145194622238","3.90366947241019","0.258172571990937","46.8548895854607","308.916155697791","4.56","2.38690476190476","3.60956805764055","3.64877213021131","0.218696095656385","42.2637878244241","288.765444611244","flat","gloved","error","1","pat"
"371","61","221.9875","225","4526.89857594937","5209","17759","4.74468085106383","2.49579831932773","3.62822932163446","3.59034634519709","0.198913784606501","36.4046754007076","290.258345730757","4.55844155844156","2.50253807106599","3.43997542187735","3.40242914979757","0.17590145971689","38.3133576721358","275.198033750188","flat","gloved","error","1","pat"
"358","54","186.25","182","4401.0253164557","4996","14900","4.74074074074074","2.35567010309278","3.69923804457775","3.6948634766153","0.209113588192122","36.4315404728568","295.93904356622","4.59259259259259","2.40816326530612","3.54922751339691","3.55861581920904","0.264857928878373","44.043758763185","283.938201071753","flat","gloved","error","1","pat"
"644","41","267.8125","240.5","19203.4454113924","5638","21425","4.46885245901639","2.40229885057471","3.56114857236018","3.59426328502415","0.141880220190881","31.7397368355811","284.891885788814","4.46728971962617","2.34513274336283","3.39041559495353","3.34180616740088","0.175839667679438","28.2043403353719","271.233247596282","flat","gloved","error","2","pat"
"486","85","234.775","222.5","8311.23987341772","4983","18782","4.68456375838926","2.65968586387435","3.56524910955365","3.56387339720673","0.192919842554633","36.912099951828","285.219928764292","4.75352112676056","2.15441176470588","3.5022680935242","3.51260341082405","0.259291909778248","35.2635196959636","280.181447481936","flat","gloved","error","2","pat"
"612","78","254.125","210","15355.8069620253","5194","20330","4.79617834394904","2.44654088050314","3.47062136497455","3.45547422465829","0.218564033679998","33.1692318377368","277.649709197964","4.59444444444444","1.91025641025641","3.45990687304558","3.4016408902301","0.281256627930736","39.1708772142498","276.792549843646","flat","gloved","error","2","pat"
"509","90","267.8625","242","9484.1454113924","5469","21429","4.46385542168675","1.95969773299748","3.45600797877639","3.44262295081967","0.334809830157358","40.9453431182179","276.480638302111","4.37569060773481","1.61829652996845","3.3692466681608","3.40688929001203","0.217153129473019","29.8178246249102","269.539733452864","flat","gloved","error","2","pat"
"718","40","357.3125","343","33529.7365506329","5342","28585","4.975","2.5014245014245","3.4579629609056","3.4657824933687","0.324411865522285","26.9244328486712","276.637036872448","5.23834196891192","2.75213675213675","3.77771765528314","3.55687896138168","0.515977639004157","22.4186422630478","302.217412422651","flat","gloved","error","1","pinch"
"701","54","317.3375","302","24416.0745253165","6291","25387","4.93031358885017","2.73033707865169","3.96756889350124","3.94855074307818","0.24517756875297","27.5095931703311","317.405511480099","4.67661691542289","1.91139240506329","3.25310500495184","3.17895697176791","0.390738781676225","31.9772027949906","260.248400396147","flat","gloved","error","1","pinch"
"739","95","347.4875","364","23133.6200949367","4962","27799","5.00515463917526","2.55405405405405","3.87375090349034","3.91822494473102","0.222560207572374","32.1778077800567","309.900072279227","4.76351351351351","1.92356687898089","3.6179853374486","3.68904705203146","0.304244354822887","25.6698860820111","289.438826995888","flat","gloved","error","1","pinch"
"644","129","343.2375","354","15291.0441455696","4333","27459","4.64705882352941","2.13191489361702","3.19246728865943","3.23289527415822","0.267377247197222","26.5362655689205","255.397383092755","4.96810933940774","2.98314606741573","3.8434236514874","3.68356935771632","0.270399503926503","24.6431021086324","307.473892118992","flat","gloved","error","1","pinch"
"760","82","396.1875","352","39019.5973101266","6231","31695","5.36440677966102","1.62473794549266","3.56224902637446","3.71032134389346","0.708938516170717","27.8829838877612","284.979922109957","4.68840579710145","2.55882352941176","3.57626954872042","3.56067074537224","0.192277828044192","31.1035124204729","286.101563897634","flat","gloved","error","2","pinch"
"797","59","411.0125","430","43258.265664557","7189","32881","4.75187969924812","1.77045908183633","3.36210820160365","3.57137139140441","0.640817223552538","33.6557455406864","268.968656128292","4.49152542372881","2.41573033707865","3.53081990787307","3.57878743666605","0.14069251722477","27.4368915840923","282.465592629845","flat","gloved","error","2","pinch"
"728","104","394.65","388","36214.4075949367","6470","31572","4.82014388489209","1.963133640553","3.69887231052281","3.7486129422105","0.435407003912232","36.7175898555433","295.909784841825","4.6530612244898","2.27512355848435","3.41007919940654","3.49813000146257","0.3591691998931","26.9710726715227","272.806335952523","flat","gloved","error","2","pinch"
"781","105","365.8375","365","28506.365664557","5043","29267","4.59067357512953","2.6875","3.50755518835951","3.45225476240952","0.179436813947914","29.2055379768282","280.604415068761","4.67084639498433","2.74698795180723","3.88983100054179","3.93189964157706","0.225270735490714","25.7095452141643","311.186480043343","flat","gloved","error","2","pinch"
"509","133","265.8625","256.5","5847.41123417722","5644","21269","4.75","2.63636363636364","3.46960660674526","3.44234529071744","0.217020831285978","34.6542133142594","277.568528539621","4.64593301435407","2.49295774647887","3.43961621434641","3.4623160973931","0.209423997924229","34.2066889578562","275.169297147713","flat","gloved","error","1","poke"
"527","101","291.0625","273","11413.5023734177","4774","23285","4.48809523809524","2.67080745341615","3.4107710002816","3.37661290322581","0.18319960893715","35.6216932480909","272.861680022528","5.43258426966292","2.6403162055336","3.86943016600992","3.83019001701645","0.362113738261812","35.033995474911","309.554413280793","flat","gloved","error","1","poke"
"464","68","254.6875","244.5","6490.21756329114","4892","20375","4.64","2.37142857142857","3.86670548840524","3.93547153780799","0.213194739084685","37.4519011581504","309.33643907242","4.4","2.31638418079096","3.43220442997372","3.45883010432191","0.239433320443172","37.723249406812","274.576354397897","flat","gloved","error","1","poke"
"488","65","243.35","228.5","8880.00253164557","5200","19468","4.46396396396396","2.18461538461538","3.69035456168969","3.75038940809969","0.163297391785026","32.5936250866821","295.228364935175","4.53571428571429","1.76640419947507","3.04708018781255","3.03038461538462","0.450237252752353","43.3715944547838","243.766415025004","flat","gloved","error","1","poke"
"553","76","339.6","364","14406.6481012658","5716","27168","4.84304932735426","2.33167082294264","3.14515719954119","2.95689227533385","0.343461926997378","30.2438968523803","251.612575963295","4.2445652173913","2.24829157175399","3.27573211009647","3.43989000043307","0.316259082945887","26.0611044183852","262.058568807718","flat","gloved","error","2","poke"
"521","81","271.7","269","10223.1240506329","5318","21736","5.13265306122449","2.66776315789474","3.74513225028741","3.68091574047687","0.306227257749087","30.768509108152","299.610580022993","5.4726368159204","2.40740740740741","3.9453785695429","3.92551057622174","0.508509835720917","30.370390219435","315.630285563432","flat","gloved","error","2","poke"
"480","79","285.025","276","10173.8981012658","4413","22802","5.45820433436533","2.57512953367876","4.23161722722987","4.29957147808552","0.396897488288848","32.2074039363143","338.52937817839","5.21078431372549","1.77659574468085","3.28368589592662","3.28883706467662","0.483861225911833","38.221076858507","262.69487167413","flat","gloved","error","2","poke"
"414","26","226.4375","218.5","7784.07199367089","5597","18115","5.17857142857143","1.69230769230769","3.61730438522156","3.60420075519194","0.346429332317534","35.3926411246492","289.384350817725","4.640625","2.15121951219512","3.13531385438909","3.06979646697389","0.316498745343227","36.9750566802698","250.825108351127","flat","gloved","error","2","poke"
"802","121","419.1375","400.5","25349.9681962025","5974","33531","4.92244897959184","2.28767123287671","3.18095531181317","3.23631958612649","0.34537443248365","31.3946072281901","254.476424945054","4.48517520215633","2.5243328100471","3.39943468774797","3.29596292145325","0.370880852697045","24.7241784023465","271.954775019838","flat","gloved","error","1","press"
"538","82","302.85","301.5","9546.91392405063","5324","24228","4.63098591549296","2.55506607929515","3.79086800937245","3.85899077516178","0.183758752285557","33.1435971052111","303.269440749796","4.62779156327543","2.27044025157233","3.74113903975047","3.79500291452493","0.217400321733624","32.0730735553247","299.291123180037","flat","gloved","error","1","press"
"621","76","396.2","428","22438.9974683544","7013","31696","5.29916897506925","2.3448275862069","4.00166624041223","3.95296991315136","0.325118737680359","35.1614446214041","320.133299232979","4.20779220779221","2.33333333333333","3.02032446025212","2.93047436440887","0.135722405284867","23.6698731284413","241.62595682017","flat","gloved","error","1","press"
