maxXshear,minXshear,meanXshear,medianXshear,varXshear,totalvarXshear,aucXshear,XmaxXshear,XminXshear,XmeanXshear,XmedianXshear,XvarXshear,XtotalvarXshear,XaucXshear,YmaxXshear,YminXshear,YmeanXshear,YmedianXshear,YvarXshear,YtotalvarXshear,YaucXshear,maxYshear,minYshear,meanYshear,medianYshear,varYshear,totalvarYshear,aucYshear,XmaxYshear,XminYshear,XmeanYshear,XmedianYshear,XvarYshear,XtotalvarYshear,XaucYshear,YmaxYshear,YminYshear,YmeanYshear,YmedianYshear,YvarYshear,YtotalvarYshear,YaucYshear,subcondition,glovecondition,subject,filecount,gesture
4614,4605,4609.1625,4610,3.960601266,36,368733,3.501628664,3.499782986,3.500673936,3.500650759,1.67E-07,0.009547671255,280.0539149,3.503252385,3.500976351,3.502173587,3.502117028,3.30E-07,0.01453146046,280.1738869,4614,4605,4609.1625,4610,3.960601266,36,368733,3.501628664,3.499782986,3.500673936,3.500650759,1.67E-07,0.009547671255,280.0539149,3.503252385,3.500976351,3.502173587,3.502117028,3.30E-07,0.01453146046,280.1738869,flat,notgloved,LC,2,pat
4610,4602,4606.475,4607,3.771518987,44,368518,3.501519097,3.499565595,3.500507345,3.500434216,1.46E-07,0.01302267302,280.0405876,3.503362985,3.499348676,3.501329389,3.501085305,1.73E-06,0.01388837529,280.1063511,4610,4602,4606.475,4607,3.771518987,44,368518,3.501519097,3.499565595,3.500507345,3.500434216,1.46E-07,0.01302267302,280.0405876,3.503362985,3.499348676,3.501329389,3.501085305,1.73E-06,0.01388837529,280.1063511,flat,notgloved,LC,2,pat
4611,4601,4605.85,4606,8.635443038,32,368468,3.501738375,3.499891517,3.500884807,3.500976774,1.86E-07,0.01497749732,280.0707846,3.503146019,3.499022377,3.500645314,3.50037988,1.15E-06,0.01389322429,280.0516251,4611,4601,4605.85,4606,8.635443038,32,368468,3.501738375,3.499891517,3.500884807,3.500976774,1.86E-07,0.01497749732,280.0707846,3.503146019,3.499022377,3.500645314,3.50037988,1.15E-06,0.01389322429,280.0516251,flat,notgloved,LC,2,pat
4613,4605,4608.8625,4608,5.487183544,49,368709,3.502496201,3.499457112,3.501406265,3.501246877,5.00E-07,0.0146453537,280.1125012,3.502492955,3.499674409,3.501118462,3.501356773,6.98E-07,0.01551054472,280.0894769,4613,4605,4608.8625,4608,5.487183544,49,368709,3.502496201,3.499457112,3.501406265,3.501246877,5.00E-07,0.0146453537,280.1125012,3.502492955,3.499674409,3.501118462,3.501356773,6.98E-07,0.01551054472,280.0894769,flat,notgloved,LC,2,pat
4614,4550,4591.3125,4596.5,352.6985759,171,367305,3.503793627,3.492136304,3.499328242,3.500545256,1.06E-05,0.03714766928,279.9462593,3.500651324,3.496491228,3.498645379,3.498697068,1.13E-06,0.02779285193,279.8916303,4614,4550,4591.3125,4596.5,352.6985759,171,367305,3.503793627,3.492136304,3.499328242,3.500545256,1.06E-05,0.03714766928,279.9462593,3.500651324,3.496491228,3.498645379,3.498697068,1.13E-06,0.02779285193,279.8916303,flat,notgloved,LC,1,rub
4609,4551,4583.75,4583,289.1772152,163,366700,3.504809794,3.496948561,3.502074345,3.502407387,4.02E-06,0.03351255443,280.1659476,3.50186281,3.488087432,3.494628055,3.493265261,2.12E-05,0.03503798804,279.5702444,4609,4551,4583.75,4583,289.1772152,163,366700,3.504809794,3.496948561,3.502074345,3.502407387,4.02E-06,0.03351255443,280.1659476,3.50186281,3.488087432,3.494628055,3.493265261,2.12E-05,0.03503798804,279.5702444,flat,notgloved,LC,1,rub
4612,4567,4593.1125,4595.5,227.5188291,143,367449,3.502819957,3.497268953,3.500134069,3.500271869,2.02E-06,0.03188990916,280.0107255,3.499023226,3.485900217,3.493644484,3.495353727,1.55E-05,0.03291345519,279.4915587,4612,4567,4593.1125,4595.5,227.5188291,143,367449,3.502819957,3.497268953,3.500134069,3.500271869,2.02E-06,0.03188990916,280.0107255,3.499023226,3.485900217,3.493644484,3.495353727,1.55E-05,0.03291345519,279.4915587,flat,notgloved,LC,1,rub
4617,4551,4587.05,4592,457.7949367,186,366964,3.507580751,3.4978223,3.50164958,3.501032306,9.00E-06,0.04282429036,280.1319664,3.500329598,3.491993858,3.496824976,3.496585383,4.32E-06,0.02338404852,279.7459981,4617,4551,4587.05,4592,457.7949367,186,366964,3.507580751,3.4978223,3.50164958,3.501032306,9.00E-06,0.04282429036,280.1319664,3.500329598,3.491993858,3.496824976,3.496585383,4.32E-06,0.02338404852,279.7459981,flat,notgloved,LC,1,rub
4611,4535,4583.7125,4588,486.9416139,174,366697,3.51121372,3.500543596,3.504192609,3.503102716,8.72E-06,0.03547648931,280.3354087,3.502716801,3.491951488,3.498937941,3.499616816,5.28E-06,0.02974433991,279.9150353,4611,4535,4583.7125,4588,486.9416139,174,366697,3.51121372,3.500543596,3.504192609,3.503102716,8.72E-06,0.03547648931,280.3354087,3.502716801,3.491951488,3.498937941,3.499616816,5.28E-06,0.02974433991,279.9150353,flat,notgloved,LC,2,rub
4594,4535,4568.0625,4570,305.5276899,214,365445,3.515325248,3.502418646,3.507919433,3.508519108,1.40E-05,0.03494119553,280.6335546,3.502179599,3.491962123,3.49787166,3.498082803,4.10E-06,0.04030538076,279.8297328,4594,4535,4568.0625,4570,305.5276899,214,365445,3.515325248,3.502418646,3.507919433,3.508519108,1.40E-05,0.03494119553,280.6335546,3.502179599,3.491962123,3.49787166,3.498082803,4.10E-06,0.04030538076,279.8297328,flat,notgloved,LC,2,rub
4612,4545,4580.6,4580,369.4835443,131,366448,3.512921594,3.502615519,3.506417074,3.506389913,6.02E-06,0.03158344968,280.5133659,3.500653026,3.490657287,3.496732114,3.498155782,8.82E-06,0.02990487265,279.7385691,4612,4545,4580.6,4580,369.4835443,131,366448,3.512921594,3.502615519,3.506417074,3.506389913,6.02E-06,0.03158344968,280.5133659,3.500653026,3.490657287,3.496732114,3.498155782,8.82E-06,0.02990487265,279.7385691,flat,notgloved,LC,2,rub
4610,4568,4592.3,4594.5,111.1493671,131,367384,3.506290672,3.493551913,3.501263775,3.503154232,1.31E-05,0.03587008843,280.101102,3.508533917,3.494551003,3.49938068,3.498372396,1.76E-05,0.04244154724,279.9504544,4610,4568,4592.3,4594.5,111.1493671,131,367384,3.506290672,3.493551913,3.501263775,3.503154232,1.31E-05,0.03587008843,280.101102,3.508533917,3.494551003,3.49938068,3.498372396,1.76E-05,0.04244154724,279.9504544,flat,notgloved,LC,2,rub
