maxXshear,minXshear,meanXshear,medianXshear,varXshear,totalvarXshear,aucXshear,XmaxXshear,XminXshear,XmeanXshear,XmedianXshear,XvarXshear,XtotalvarXshear,XaucXshear,YmaxXshear,YminXshear,YmeanXshear,YmedianXshear,YvarXshear,YtotalvarXshear,YaucXshear,maxPress,minPress,meanPress,medianPress,varPress,totalvarPress,aucPress,XmaxPress,XminPress,XmeanPress,XmedianPress,XvarPress,XtotalvarPress,XaucPress,YmaxPress,YminPress,YmeanPress,YmedianPress,YvarPress,YtotalvarPress,YaucPress,maxYshear,minYshear,meanYshear,medianYshear,varYshear,totalvarYshear,aucYshear,XmaxYshear,XminYshear,XmeanYshear,XmedianYshear,XvarYshear,XtotalvarYshear,XaucYshear,YmaxYshear,YminYshear,YmeanYshear,YmedianYshear,YvarYshear,YtotalvarYshear,YaucYshear,subcondition,glovecondition,subject,filecount,gesture
4614,4605,4609.1625,4610,3.960601266,36,368733,3.501628664,3.499782986,3.500673936,3.500650759,1.67E-07,0.009547671255,280.0539149,3.503252385,3.500976351,3.502173587,3.502117028,3.30E-07,0.01453146046,280.1738869,493,233,424.475,471.5,6593.923418,513,33958,4.474509804,4.409465021,4.44936095,4.448770492,0.0003291563784,0.2545951407,355.948876,4.99765808,4.942622951,4.980787145,4.9838924,0.0002495723603,0.1319218188,398.4629716,4614,4605,4609.1625,4610,3.960601266,36,368733,3.501628664,3.499782986,3.500673936,3.500650759,1.67E-07,0.009547671255,280.0539149,3.503252385,3.500976351,3.502173587,3.502117028,3.30E-07,0.01453146046,280.1738869,flat,notgloved,LC,2,pat
4610,4602,4606.475,4607,3.771518987,44,368518,3.501519097,3.499565595,3.500507345,3.500434216,1.46E-07,0.01302267302,280.0405876,3.503362985,3.499348676,3.501329389,3.501085305,1.73E-06,0.01388837529,280.1063511,461,28,279.6,273,23556.24304,613,22368,4.483253589,4.394736842,4.458390389,4.459473859,0.0002348057074,0.4155014072,356.6712311,5,4.935483871,4.987029738,4.992670452,0.0002074640475,0.129683418,398.9623791,4610,4602,4606.475,4607,3.771518987,44,368518,3.501519097,3.499565595,3.500507345,3.500434216,1.46E-07,0.01302267302,280.0405876,3.503362985,3.499348676,3.501329389,3.501085305,1.73E-06,0.01388837529,280.1063511,flat,notgloved,LC,2,pat
4611,4601,4605.85,4606,8.635443038,32,368468,3.501738375,3.499891517,3.500884807,3.500976774,1.86E-07,0.01497749732,280.0707846,3.503146019,3.499022377,3.500645314,3.50037988,1.15E-06,0.01389322429,280.0516251,447,13,171.8875,136.5,20669.39225,656,13751,4.523809524,4.153846154,4.414050146,4.43710443,0.005333827564,1.535746147,353.1240117,4.995525727,4.571428571,4.929055362,4.986254133,0.01018428138,0.9912744693,394.3244289,4611,4601,4605.85,4606,8.635443038,32,368468,3.501738375,3.499891517,3.500884807,3.500976774,1.86E-07,0.01497749732,280.0707846,3.503146019,3.499022377,3.500645314,3.50037988,1.15E-06,0.01389322429,280.0516251,flat,notgloved,LC,2,pat
4613,4605,4608.8625,4608,5.487183544,49,368709,3.502496201,3.499457112,3.501406265,3.501246877,5.00E-07,0.0146453537,280.1125012,3.502492955,3.499674409,3.501118462,3.501356773,6.98E-07,0.01551054472,280.0894769,460,77,240.1,186,17298.62278,740,19208,4.671328671,4.395348837,4.491792522,4.481275008,0.003646016701,0.9593553047,359.3434017,5,4.88372093,4.988385351,4.990942772,0.0001839624595,0.2089295922,399.070828,4613,4605,4608.8625,4608,5.487183544,49,368709,3.502496201,3.499457112,3.501406265,3.501246877,5.00E-07,0.0146453537,280.1125012,3.502492955,3.499674409,3.501118462,3.501356773,6.98E-07,0.01551054472,280.0894769,flat,notgloved,LC,2,pat
4614,4550,4591.3125,4596.5,352.6985759,171,367305,3.503793627,3.492136304,3.499328242,3.500545256,1.06E-05,0.03714766928,279.9462593,3.500651324,3.496491228,3.498645379,3.498697068,1.13E-06,0.02779285193,279.8916303,138,29,71.3625,63.5,1090.335285,214,5709,4.683333333,3.567567568,4.071057543,4.053418803,0.1059104174,3.292231023,325.6846034,4.027027027,3.420289855,3.662413621,3.645752896,0.02549744517,2.107099239,292.9930897,4614,4550,4591.3125,4596.5,352.6985759,171,367305,3.503793627,3.492136304,3.499328242,3.500545256,1.06E-05,0.03714766928,279.9462593,3.500651324,3.496491228,3.498645379,3.498697068,1.13E-06,0.02779285193,279.8916303,flat,notgloved,LC,1,rub
4609,4551,4583.75,4583,289.1772152,163,366700,3.504809794,3.496948561,3.502074345,3.502407387,4.02E-06,0.03351255443,280.1659476,3.50186281,3.488087432,3.494628055,3.493265261,2.12E-05,0.03503798804,279.5702444,138,54,90.3125,98,653.1289557,241,7225,4.388888889,3.361538462,3.882593274,3.791431262,0.1265317805,3.830339327,310.6074619,4.953846154,3.381679389,3.927606082,3.611930693,0.3267139322,2.80539258,314.2084866,4609,4551,4583.75,4583,289.1772152,163,366700,3.504809794,3.496948561,3.502074345,3.502407387,4.02E-06,0.03351255443,280.1659476,3.50186281,3.488087432,3.494628055,3.493265261,2.12E-05,0.03503798804,279.5702444,flat,notgloved,LC,1,rub
4612,4567,4593.1125,4595.5,227.5188291,143,367449,3.502819957,3.497268953,3.500134069,3.500271869,2.02E-06,0.03188990916,280.0107255,3.499023226,3.485900217,3.493644484,3.495353727,1.55E-05,0.03291345519,279.4915587,118,52,80.9125,78.5,299.2960443,199,6473,4.111111111,3.095238095,3.60123595,3.666666667,0.09542323275,3.638263137,288.098876,4.672131148,3.634408602,3.98565529,3.954696869,0.05147388501,3.363756888,318.8524232,4612,4567,4593.1125,4595.5,227.5188291,143,367449,3.502819957,3.497268953,3.500134069,3.500271869,2.02E-06,0.03188990916,280.0107255,3.499023226,3.485900217,3.493644484,3.495353727,1.55E-05,0.03291345519,279.4915587,flat,notgloved,LC,1,rub
4617,4551,4587.05,4592,457.7949367,186,366964,3.507580751,3.4978223,3.50164958,3.501032306,9.00E-06,0.04282429036,280.1319664,3.500329598,3.491993858,3.496824976,3.496585383,4.32E-06,0.02338404852,279.7459981,125,45,78.8875,76,417.8226266,281,6311,4.181818182,2.7,3.508035323,3.558739076,0.2703030582,4.655788491,280.6428259,4.272727273,3.296,3.773611599,3.741287129,0.1108906997,2.550255966,301.8889279,4617,4551,4587.05,4592,457.7949367,186,366964,3.507580751,3.4978223,3.50164958,3.501032306,9.00E-06,0.04282429036,280.1319664,3.500329598,3.491993858,3.496824976,3.496585383,4.32E-06,0.02338404852,279.7459981,flat,notgloved,LC,1,rub
4611,4535,4583.7125,4588,486.9416139,174,366697,3.51121372,3.500543596,3.504192609,3.503102716,8.72E-06,0.03547648931,280.3354087,3.502716801,3.491951488,3.498937941,3.499616816,5.28E-06,0.02974433991,279.9150353,515,76,254,244.5,20691.26582,1147,20320,4.198813056,3.544303797,3.848547773,3.806556368,0.04244544647,2.408365941,307.8838218,4.638429752,3.224719101,4.061581428,4.343270752,0.2666751354,2.809464744,324.9265142,4611,4535,4583.7125,4588,486.9416139,174,366697,3.51121372,3.500543596,3.504192609,3.503102716,8.72E-06,0.03547648931,280.3354087,3.502716801,3.491951488,3.498937941,3.499616816,5.28E-06,0.02974433991,279.9150353,flat,notgloved,LC,2,rub
4594,4535,4568.0625,4570,305.5276899,214,365445,3.515325248,3.502418646,3.507919433,3.508519108,1.40E-05,0.03494119553,280.6335546,3.502179599,3.491962123,3.49787166,3.498082803,4.10E-06,0.04030538076,279.8297328,490,137,261.3625,238,9061.702373,887,20909,4.154185022,3.465909091,3.885944084,3.91013756,0.02557080088,2.86022041,310.8755267,4.714776632,4.048951049,4.476175772,4.507854406,0.02476531841,3.039679344,358.0940618,4594,4535,4568.0625,4570,305.5276899,214,365445,3.515325248,3.502418646,3.507919433,3.508519108,1.40E-05,0.03494119553,280.6335546,3.502179599,3.491962123,3.49787166,3.498082803,4.10E-06,0.04030538076,279.8297328,flat,notgloved,LC,2,rub
