max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,subject,filecount,gesture
1267,65,479.9375,297.5,127955.2998,37852,38395,4.61695279,2.164150943,3.536884206,3.538817855,0.216040204,42.09443592,282.9507365,5.255497382,1.471596032,3.546205034,3.57054561,0.6014617648,67.7792661,283.6964027,P7,3,no
7055,90,569.825,290.5,746892.9563,48357,45586,4.510638298,2.216524217,3.56038932,3.578538813,0.2237146677,40.09081806,284.8311456,5.365591398,1.241343127,3.416074036,3.402185792,0.720085416,77.34952799,273.2859228,P7,3,no
5315,89,522.7,302,438550.2127,46670,41816,4.668577982,2.055727554,3.471300535,3.451626487,0.2438247662,40.83196784,277.7040428,5.472258065,1.261424017,3.592002262,3.635387855,0.7342998142,73.53378233,287.3601809,P7,3,no
1129,76,445.7625,288,122378.9935,37793,35661,4.65771028,2.033557047,3.534721777,3.520765027,0.3012822799,43.50400564,282.7777422,5.565462754,1.391100703,3.463760781,3.463374783,0.7707762098,91.37379651,277.1008625,P7,3,no
6853,158,753.1875,518.5,628257.4201,51276,60255,4.499158249,2.565217391,3.555499381,3.602711128,0.1506335868,35.90411548,284.4399505,5.095079233,1.887822878,3.496196391,3.526022597,0.4042636618,55.01025751,279.6957113,P7,4,no
1429,180,664.6,500,147460.8253,39688,53168,4.8,2.644859813,3.566926315,3.580693302,0.1560563792,31.59009244,285.3541052,5.112804878,1.431684828,3.404616886,3.415905316,0.5332041132,67.45120098,272.3693509,P7,4,no
1392,199,643.8875,446,154648.4555,40216,51511,4.366666667,2.427364865,3.544573291,3.611326787,0.1536076869,33.75030702,283.5658632,5.341772152,1.731321839,3.508998814,3.483100233,0.4809104462,63.52502119,280.7199052,P7,4,no
1406,132,645.6125,467.5,156223.734,41183,51649,4.423357664,2.659375,3.5587011,3.548995905,0.1462688575,28.79837604,284.696088,5.226169844,1.460050463,3.46265702,3.431940356,0.5124371931,64.81664135,277.0125616,P7,4,no
1072,45,368.625,180.5,114850.0095,36237,29490,4.925581395,1.675213675,3.532637437,3.665932606,0.4265233882,55.76902305,282.610995,5.323529412,1.109489051,3.5395876,3.560584477,0.876153317,87.61640938,283.167008,P7,5,no
1125,28,363.3,199.5,112169.2759,34887,29064,4.60617284,1.794195251,3.326384109,3.288027189,0.3804157208,52.55519471,266.1107287,5.653846154,1.180533752,3.610218447,3.653708489,0.8588558392,87.41256281,288.8174758,P7,5,no
