"maxR","minR","meanR","medianR","varR","totalvarR","aucR","maxTheta","minTheta","meanTheta","medianTheta","varTheta","totalvarTheta","aucTheta","subconditionV","subjectV","filecountV","gestureV"
"6609.06120413482","6345.59201335856","6453.96589455707","6452.38665135906","2621.71584225255","4390.27266797254","516317.271564565","0.803649930118795","0.775830142076161","0.79056821478128","0.790983891307518","4.46521875228835e-05","0.652744199313376","63.2454571825024","flat","P1","4","constant"
"6575.51830656717","6317.30615056766","6450.47330600188","6446.2693100736","2940.20613388573","4639.26675400564","516037.86448015","0.804218175563696","0.768676582944909","0.790003315393269","0.790371088642199","4.996146362726e-05","0.66195500952024","63.2002652314615","flat","P1","4","constant"
"6608.02731531885","-1","6391.59544044401","6470.75921911794","525565.747539624","10326.2279261494","511327.635235521","0.800917005510669","-1","0.762074376432434","0.783652495984846","0.0398457902759764","2.44999258913042","60.9659501145947","flat","P1","5","constant"
"6578.29134350251","6355.5451379091","6465.56085040597","6468.64143736791","1967.97690893208","4087.85437280212","517244.868032478","0.803965417439385","0.766783003063794","0.783924515821371","0.78341299398886","5.23669294121011e-05","0.665752082606139","62.7139612657097","flat","P1","5","constant"
"6579.66055355442","6362.00573718698","6457.98899406117","6459.37818802608","1921.23046567604","3954.99223843695","516639.119524893","0.803218489355521","0.767906273919976","0.784496508324765","0.784634887858003","4.64535465969095e-05","0.640250619260807","62.7597206659812","flat","P1","5","constant"
"6556.38940271244","6371.73955839377","6460.78823641233","6455.54067239038","1997.72327706551","3828.61442416667","516863.058912986","0.803775648335453","0.773746725088437","0.78630156870571","0.786776962643945","4.2798308783258e-05","0.567001730691703","62.9041254964568","flat","P1","5","constant"
"6582.81436773057","-1","6404.4629695117","6482.61153017549","527915.731294532","10422.7170251871","512357.037560936","0.793396239809068","-1","0.759114949001452","0.781378240247752","0.0396992151528453","2.33231879385934","60.7291959201161","flat","P1","6","constant"
"6620.83114117858","6384.63256577855","6488.04360288398","6486.71122400901","2361.05779869149","3975.94070861329","519043.488230719","0.796716791909481","0.767013905630247","0.782501425553856","0.782400385852735","3.93568176077255e-05","0.617189940523637","62.6001140443085","flat","P1","6","constant"
"6587.40677353388","6356.26250244591","6479.40817083105","6478.56346838891","1946.36027119371","4189.51434338955","518352.653666484","0.798626626156765","0.764170849706918","0.784086181326166","0.783436609454382","5.72095923923353e-05","0.655900836761983","62.7268945060933","flat","P1","6","constant"
"6591.65184153411","6333.58010922732","6483.40464739438","6493.38967415115","2569.99052655106","4580.3249755495","518672.37179155","0.799308621647871","0.76889586134531","0.783987959261999","0.784145870647276","4.9063678142e-05","0.608765676508455","62.7190367409599","flat","P1","6","constant"
"6559.16153178133","-1","6385.73741553749","6468.10381584763","524240.212460349","9613.28531674654","510858.993242999","0.807362995929769","-1","0.765530764916597","0.787477854157537","0.0400004034089951","2.41535361379695","61.2424611933278","flat","P1","7","constant"
