max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,maxSX,minSX,meanSX,medianSX,varSX,totalvarSX,aucSX,XmaxSX,XminSX,XmeanSX,XmedianSX,XvarSX,XtotalvarSX,XaucSX,YmaxSX,YminSX,YmeanSX,YmedianSX,YvarSX,YtotalvarSX,YaucSX,maxSY,minSY,meanSY,medianSY,varSY,totalvarSY,aucSY,XmaxSY,XminSY,XmeanSY,XmedianSY,XvarSY,XtotalvarSY,XaucSY,YmaxSY,YminSY,YmeanSY,YmedianSY,YvarSY,YtotalvarSY,YaucSY,subcondition,subject,filecount,gesture
470,0,244.4,257.5,7329.483544,7474,19552,4.466666667,0,3.344393782,3.467709549,0.571276545,47.55111297,267.5515026,5,0,3.303567723,3.392732466,0.6793634035,51.16881972,264.2854179,4650,4512,4583.675,4586,991.0322785,3007,366694,3.52115133,3.470510853,3.500021963,3.500602206,0.0001013871907,0.8438481846,280.001757,3.532864366,3.47624261,3.499956339,3.498912334,0.0001225344798,0.9504995145,279.9965071,4671,4527,4594.0375,4596,1084.871994,3107,367523,3.52624614,3.477637864,3.503503129,3.503085545,0.0001072472331,0.9339354573,280.2802503,3.533745037,3.479112834,3.501895688,3.50130778,0.000100996232,0.846118551,280.151655,flat,P2,4,freeplay
491,0,228.65,228.5,7116.812658,6729,18292,6,0,3.488201801,3.507139775,0.6064229533,54.94096522,279.0561441,5.307692308,0,3.434836306,3.513736264,0.6794251243,57.44529583,274.7869045,4665,4500,4588.1125,4590.5,1089.240348,2848,367049,3.530461271,3.466900482,3.499177493,3.498428789,0.0001687343441,1.176637585,279.9341995,3.527288541,3.468626591,3.503200295,3.505791097,0.0001316032655,1.039104496,280.2560236,4700,4513,4597.075,4597,995.3613924,2825,367766,3.524708983,3.474919268,3.502296719,3.503274994,0.0001073819851,0.8511076298,280.1837376,3.535362382,3.474956822,3.502700989,3.500972718,0.0001033999836,0.8895327484,280.2160791,flat,P2,4,freeplay
438,0,217.725,223,9526.277848,8202,17418,4.390728477,0,3.29552654,3.47529241,0.7905062168,62.72427521,263.6421232,5,0,3.340285154,3.52027027,1.054762331,73.61571186,267.2228123,4652,4494,4578.425,4579.5,1108.044937,3297,366274,3.531442392,3.47597204,3.500988184,3.500874588,0.0001260575348,1.082619407,280.0790547,3.522613065,3.479695983,3.50053677,3.500113238,0.0001176212949,0.9693935621,280.0429416,4676,4501,4594.075,4594.5,1025.66519,2682,367526,3.531447225,3.480963648,3.505497823,3.505533867,0.0001189321279,0.8454608096,280.4398258,3.527850877,3.467510187,3.503810835,3.503645,0.0001554266013,1.137814824,280.3048668,flat,P2,4,freeplay
673,0,350.5125,361,17913.44288,11038,28041,4.350877193,0,3.366899085,3.447012203,0.4159305942,40.78528353,269.3519268,5.05988024,0,3.294842586,3.358853594,0.6301833445,56.14777599,263.5874069,4679,4459,4594.175,4598.5,1470.500633,3167,367534,3.533130567,3.466145833,3.501199833,3.50071015,0.000218356181,1.248699363,280.0959867,3.523601399,3.456607065,3.499071283,3.49994604,0.0001549750714,1.029861604,279.9257026,4650,4527,4589.075,4591,828.0702532,2622,367126,3.534627832,3.469612069,3.501838581,3.502447971,0.0001225917673,0.9064158489,280.1470864,3.527380691,3.481465329,3.500380521,3.500163934,8.62E-05,0.8008537105,280.0304416,flat,P2,5,freeplay
588,0,311.2375,357,20772.00617,10734,24899,5.625,0,3.247900812,3.39792485,0.7595977129,60.1538524,259.832065,6,0,3.145422765,3.291285672,1.106244463,78.32358893,251.6338212,4680,4512,4600.9625,4602,959.9859177,2550,368077,3.527512998,3.478663793,3.503230717,3.503813681,0.0001127919403,1.022813112,280.2584574,3.520598439,3.475080906,3.500709462,3.501029729,0.0001023554822,0.90361718,280.0567569,4660,4503,4582.5125,4578,1004.531487,2803,366601,3.536753276,3.471578487,3.502651759,3.503445779,0.0001413134312,0.9982430197,280.2121408,3.535502308,3.480660582,3.500802728,3.499781564,0.0001125992225,1.04882557,280.0642182,flat,P2,5,freeplay
606,0,349.25,372,20919.12658,11590,27940,5.47826087,0,3.275352431,3.434167215,0.6568565732,55.33241785,262.0281945,6,0,3.199122456,3.34916529,0.9602370087,71.96208311,255.9297965,4677,4515,4598.9,4600,1189.812658,2626,367912,3.548493512,3.472307692,3.500446237,3.500270882,0.0001728979719,1.119453515,280.0356989,3.530996714,3.476314082,3.500696393,3.500381917,0.0001497002811,1.100773927,280.0557115,4674,4509,4588.55,4585,989.7189873,2797,367084,3.529256489,3.473120629,3.50052113,3.500325377,0.0001433810934,1.090581183,280.0416904,3.531167691,3.485218509,3.501053017,3.501741811,7.14E-05,0.7514601394,280.0842414,flat,P2,5,freeplay
578,0,340.95,357.5,18610.22532,11376,27276,4.196428571,0,3.225324852,3.348100536,0.5064005007,46.8055252,258.0259881,6,0,3.259603387,3.393333333,0.7894669577,72.57901925,260.7682709,4678,4518,4593.625,4594,1555.857595,3764,367490,3.52722063,3.468984761,3.503654642,3.503387979,0.0001625694005,1.058634382,280.2923714,3.525460931,3.473431008,3.499934095,3.500053622,0.0001600666282,1.008329659,279.9947276,4664,4493,4596.6625,4597.5,839.5175633,2453,367733,3.533013728,3.47172651,3.501472381,3.50087561,0.0001562019244,1.05646076,280.1177905,3.527710843,3.476651603,3.500492233,3.501296573,0.0001083057114,0.9266283962,280.0393787,flat,P2,5,freeplay
394,0,229.1125,245.5,10227.89858,8106,18329,4.222222222,0,3.056350732,3.160166776,0.5717478531,51.07880049,244.5080586,5.5,0,3.15545174,3.215115181,0.7587866704,65.23470806,252.4361392,4671,4526,4594.475,4594,1179.467722,2794,367558,3.517059212,3.47490179,3.496230667,3.496349438,0.0001005264933,0.8394170712,279.6984533,3.533907665,3.472833118,3.496558559,3.49663054,0.000117008682,0.9207223207,279.7246847,4693,4539,4598.8375,4597.5,897.8087025,2520,367907,3.526837681,3.473764094,3.498702461,3.50027194,0.0001205494318,1.028293491,279.8961969,3.523318289,3.479843103,3.499953235,3.501141299,0.0001107325292,0.8136319209,279.9962588,flat,P2,6,freeplay
457,0,234.375,265,13596.64241,9648,18750,4.175298805,0,2.977988885,3.124470769,0.5932653557,58.74224258,238.2391108,5,0,2.997430533,3.191394339,0.7611502514,60.77228469,239.7944426,4664,4515,4591.7125,4594.5,1178.789715,3202,367337,3.52498904,3.47236072,3.497698508,3.497222949,0.0001391198291,1.087487666,279.8158806,3.524875081,3.47036956,3.495214951,3.496513269,0.0001258450645,0.9970118221,279.6171961,4668,4512,4590.6875,4592.5,1105.483386,2883,367255,3.522988506,3.467836257,3.500363719,3.500931366,0.0001351004043,1.113100913,280.0290975,3.530701754,3.474697232,3.500034755,3.501044355,0.0001537781895,1.081620801,280.0027804,flat,P2,6,freeplay
542,0,251.65,252.5,9872.281013,7213,20132,5.433333333,0,3.111892437,3.122084003,0.5128047111,45.52164151,248.951395,6,0,3.188001291,3.279500262,0.6669522315,56.81182892,255.0401033,4665,4519,4595.15,4594,1238.964557,3414,367612,3.529322657,3.465874064,3.4969718,3.496364823,0.0001369549508,1.050376118,279.757744,3.523998239,3.469249289,3.495607856,3.494632834,0.0001255118033,0.959299523,279.6486285,4677,4535,4598.0625,4597,1036.920095,2542,367845,3.526884042,3.46999562,3.499769884,3.498803377,0.0001380562943,0.9982316491,279.9815908,3.529878721,3.472420506,3.499185853,3.498429738,0.0001231055693,1.023875804,279.9348682,flat,P2,6,freeplay
