max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,maxY,minY,meanY,medianY,varY,totalvarY,aucY,XmaxY,XminY,XmeanY,XmedianY,XvarY,XtotalvarY,XaucY,YmaxY,YminY,YmeanY,YmedianY,YvarY,YtotalvarY,YaucY,filecount,gesture
234,61,147.9375,143.5,2283.95807,370,11835,5.642276423,3.548837209,4.352670841,3.897058824,0.5439635904,4.670353502,348.2136672,4.986111111,1.272727273,3.126700068,2.747603587,1.374218361,9.595520537,250.1360054,4601,4578,4588.2875,4587,34.43528481,116,367063,3.502394428,3.494654157,3.498324413,3.498364231,2.87E-06,0.03530261543,279.8659531,3.504799302,3.493560358,3.498957161,3.499074797,8.32E-06,0.05078956234,279.9165729,5,rub
274,96,154.825,131.5,2914.601899,504,12386,4.330188679,3.259259259,3.766978489,3.675154445,0.07211100228,3.194048441,301.3582791,3.822695035,1.4453125,2.523515235,2.44535501,0.5672576711,9.661985702,201.8812188,4597,4576,4585.35,4586,33.39493671,124,366828,3.504139434,3.498251748,3.50169458,3.501908948,1.57E-06,0.04644414592,280.1355664,3.506993007,3.496286588,3.499981658,3.499672989,6.86E-06,0.05803317673,279.9985326,6,rub
218,50,107.7125,93.5,2043.549209,528,8617,4.54,3.546218487,3.956228851,3.895209114,0.07395175323,4.941058468,316.4983081,3.762295082,1.183333333,2.404778456,2.448863636,0.5074118531,8.26096901,192.3822765,4600,4585,4591.5,4591,13.62025316,113,367320,3.506097561,3.500870322,3.502866897,3.502505994,1.52E-06,0.04607231794,280.2293517,3.504027868,3.49716899,3.500958496,3.501305767,2.61E-06,0.0454232311,280.0766797,6,rub
242,56,176.6875,182,1583.787184,438,14135,4.013333333,2.931216931,3.557288798,3.640903541,0.1024861174,3.0204235,284.5831038,4.703703704,1.856353591,3.291458847,3.468821876,0.8066794245,6.366409936,263.3167078,4598,4582,4589.8375,4590,10.72009494,123,367187,3.50860379,3.499455219,3.503361752,3.503053435,4.22E-06,0.04477656724,280.2689401,3.50359086,3.495534742,3.500077661,3.500054407,3.81E-06,0.04978142147,280.0062129,6,rub
263,104,199.575,214.5,2337.184177,625,15966,3.789915966,2.962732919,3.289497704,3.267551411,0.05645812307,3.285082496,263.1598163,3.993939394,1.259615385,2.935504029,3.056482759,0.5893119476,7.859758497,234.8403223,4597,4583,4590.6,4591,11.81265823,105,367248,3.50663765,3.501197474,3.50355608,3.503648017,1.74E-06,0.04934421933,280.2844864,3.502833479,3.494879059,3.498959653,3.498965532,4.69E-06,0.04388891035,279.9167723,6,rub
231,59,149.075,138,2312.298101,483,11926,5.067901235,3.920634921,4.482452556,4.448342781,0.09316079043,4.239825115,358.5962045,4.175925926,2.385321101,3.217507847,3.090722952,0.316703038,6.302720501,257.4006278,4585,4567,4577.2,4578,24.36455696,114,366176,3.503928416,3.49321663,3.499220021,3.499945474,8.64E-06,0.04850641367,279.9376017,3.511164623,3.499454506,3.503735602,3.502892072,9.45E-06,0.05072838296,280.2988482,7,rub
425,114,224.375,200,6496.870253,684,17950,4.648648649,3.772727273,4.323856099,4.469576453,0.07571941549,2.633746546,345.9084879,3.571884984,1.710526316,2.792228268,2.910171365,0.3268473755,8.018402997,223.3782614,4585,4567,4573.6125,4572,13.65806962,134,365889,3.504703566,3.495296434,3.499791325,3.499672203,6.68E-06,0.04874930449,279.983306,3.507214692,3.499125874,3.503280925,3.502787793,5.74E-06,0.04658837627,280.262474,7,rub
531,369,443.675,440,1609.057595,639,35494,4.490825688,3.641083521,3.987684298,3.946688945,0.05041329426,1.965675845,319.0147438,3.902631579,2.156462585,3.012226847,2.924555057,0.2137570879,5.598770251,240.9781477,4595,4564,4578.9125,4580,76.25806962,165,366313,3.499020248,3.490805604,3.495022733,3.495198602,3.80E-06,0.04734260236,279.6018187,3.511602452,3.496948561,3.502219834,3.50054621,1.68E-05,0.05694331568,280.1775867,7,rub
605,291,423.0375,423.5,4422.720095,668,33843,4.267973856,3.627659574,4.023293051,4.097965961,0.03974640657,2.093641524,321.8634441,4.40212766,2.497520661,3.553975095,3.59408992,0.3084073041,5.346809837,284.3180076,4594,4564,4584.4625,4585,32.96060127,122,366757,3.50195993,3.488825592,3.496451658,3.496186533,7.92E-06,0.05261911704,279.7161327,3.514241893,3.498149358,3.503272865,3.502781116,8.37E-06,0.05349938722,280.2618292,7,rub
114,7,65.875,76,1414.009494,269,5270,3.717391304,2.15,3.118925208,3.2162065,0.1741752896,8.38661321,249.5140166,3.639344262,2.5,3.1237081,3.151785714,0.08446382614,6.214249269,249.896648,4606,4593,4601.55,4602,6.605063291,114,368124,3.502065666,3.49728438,3.499671426,3.499511212,1.38E-06,0.03585714326,279.9737141,3.502283105,3.498263135,3.500068056,3.500162985,8.24E-07,0.0397754962,280.0054445,1,scratch
