"maxSY","minSY","meanSY","medianSY","varSY","totalvarSY","aucSY","XmaxSY","XminSY","XmeanSY","XmedianSY","XvarSY","XtotalvarSY","XaucSY","YmaxSY","YminSY","YmeanSY","YmedianSY","YvarSY","YtotalvarSY","YaucSY","subconditionSY","subjectSY","filecountSY","gestureSY"
"4672","4455","4575.3125","4575","2152.64794303797","4301","366025","3.57142857142857","3.46623516720604","3.51205655343189","3.51334135576489","0.000446977049270379","1.66473088895646","280.964524274551","3.55450341334508","3.45775261324042","3.50961780060359","3.50893589548838","0.000363042652084031","1.74668171664747","280.769424048287","flat","P1","6","constant"
"4701","4450","4577.725","4584","2744.7335443038","4815","366218","3.57055080096555","3.45828771622509","3.50949681641302","3.51300069454167","0.000456910778928545","1.59409134305082","280.759745313042","3.55956357158762","3.45196506550218","3.50708279931204","3.50813951855494","0.000423920975715137","1.74488908727795","280.566623944964","flat","P1","6","constant"
"4675","4508","4584.1875","4583","1647.52136075949","3913","366735","3.55953427065026","3.44969905417025","3.50795648606039","3.50741063644289","0.000483331825975051","1.8083033092104","280.636518884831","3.55634715025907","3.46934322496182","3.50740295059848","3.50561302676355","0.000290374835542313","1.45933436635782","280.592236047879","flat","P1","7","constant"
"4729","4485","4581.125","4573.5","2440.94620253165","4427","366490","3.56210295728368","3.4657382847038","3.51038443761103","3.51084527712311","0.000435339589123012","1.91414655880771","280.830755008883","3.5534833869239","3.47102558495517","3.50841836064328","3.50863103896365","0.000253976126217141","1.32204337222734","280.673468851462","flat","P1","7","constant"
"4672","4450","4571.7125","4572","1927.37199367089","3788","365737","3.55479753521127","3.47669629308476","3.51592091843775","3.51618720143829","0.000323532969176202","1.53238305907461","281.27367347502","3.55793226381462","3.46265377855888","3.50487531322993","3.50551690324277","0.000283204479404324","1.28345878367132","280.390025058394","flat","P1","7","constant"
"4702","4450","4578.5625","4586.5","2753.92009493671","5506","366285","3.55521405049396","3.47630487005896","3.51980538708207","3.52078388695877","0.000435579644856534","1.71852450770857","281.584430966566","3.53611416026345","3.45855263157895","3.50209032949","3.50070613724313","0.000392025817938578","1.69998582080471","280.1672263592","flat","P1","7","constant"
"4707","4365","4576.9","4575.5","2424.85063291139","4089","366152","3.55599128540305","3.4619908516663","3.50916392657077","3.50950267354534","0.000379173908002844","1.66334625336373","280.733114125662","3.54410155395054","3.45479744136461","3.50182638154934","3.50125822429074","0.00028737772305776","1.42558572562286","280.146110523947","flat","P1","8","constant"
"4691","4472","4571.575","4568.5","1872.67784810127","3927","365726","3.56470335339639","3.46050011064395","3.50170132291045","3.50054246121919","0.000467410934742037","1.5391834050838","280.136105832836","3.54352580927384","3.46766060074545","3.50200209062178","3.50280732699421","0.000282448582894104","1.60953392680803","280.160167249742","flat","P1","8","constant"
"4671","4445","4579.2","4582.5","2412.99746835443","4584","366336","3.54337696915909","3.43267543859649","3.50378892135804","3.50495116506612","0.000407670387626427","1.68651831773834","280.303113708643","3.53587245349867","3.4718633676374","3.50123484095222","3.49972803284386","0.000253971061238841","1.32957128773748","280.098787276177","flat","P1","8","constant"
"4690","4472","4575.925","4573.5","2097.26012658228","3795","366074","3.55014326647564","3.45995118704238","3.5008291058648","3.49983568247425","0.00037432158698784","1.57592147525319","280.066328469184","3.53983069242457","3.46678245766392","3.49923535747171","3.49717348030123","0.000228121106852266","1.32256470047144","279.938828597737","flat","P1","8","constant"
"4698","4437","4551.6625","4556","2377.89731012658","4517","364133","3.53856532493816","3.45683373813204","3.50601281100629","3.50552637087218","0.000319794569774975","1.37497222501375","280.481024880503","3.5660710346349","3.46620873033459","3.5077567793425","3.50771712627924","0.000420119521342648","1.51492906018485","280.6205423474","flat","P1","1","freeplay"
"4668","4435","4554.725","4553","2260.98670886076","4029","364378","3.54173022444977","3.46443514644351","3.5011805242438","3.50065624222073","0.000401569450113564","1.69878502401372","280.094441939504","3.55853283549308","3.46738414232374","3.51179472238568","3.51361152291769","0.000383170261975072","1.7175691063947","280.943577790855","flat","P1","1","freeplay"
"4705","4434","4568.55","4566.5","2863.23797468354","4006","365484","3.5686794956868","3.46679991117033","3.51018809055351","3.51279904882115","0.000426235336255965","1.75388891716387","280.815047244281","3.53812252093433","3.46536650975118","3.49925067600275","3.49874799636403","0.000342596993300068","1.42881150957056","279.94005408022","flat","P1","1","freeplay"
"4681","4443","4561.3125","4561","2843.88844936709","4229","364905","3.54533479692645","3.45237573899715","3.50061994712311","3.49978326584956","0.00046143698650183","1.64616558233583","280.049595769849","3.54788516326978","3.41094373061586","3.49014868452968","3.49079418937315","0.000601316722675844","1.84747707668808","279.211894762374","flat","P1","1","freeplay"
"4683","4484","4579.6875","4581.5","1957.73655063291","4595","366375","3.56105032822757","3.44939890710383","3.50179556506084","3.50384890702416","0.000379497962800026","1.74204968182574","280.143645204867","3.58076422058185","3.45648427401982","3.50182831168047","3.49939746931329","0.0003955543877639","1.6046676909311","280.146264934437","flat","P1","2","freeplay"
"4689","4495","4593.425","4593.5","2061.18417721519","4104","367474","3.56382518390307","3.45999125491911","3.50357730158128","3.50265741699617","0.000476482167273002","1.77111966843517","280.286184126503","3.54439655172414","3.45895851721094","3.50442073031312","3.50368943697089","0.000243277333506223","1.330934207169","280.353658425049","flat","P1","2","freeplay"
"4712","4463","4595.1625","4600","2554.46693037975","4657","367613","3.55470626774405","3.45514367185786","3.50265554370327","3.5022962280247","0.00051483680294254","1.64678458030411","280.212443496262","3.54251186879586","3.46032441911442","3.49680323686759","3.49749770298618","0.000242082063915181","1.25132572404904","279.744258949407","flat","P1","2","freeplay"
"4730","4384","4568.9875","4566","5737.75933544304","4099","365519","3.55622317596567","3.44798396079305","3.50507303672197","3.50700364137497","0.000544900211410669","1.49223986540065","280.405842937758","3.54892703862661","3.46895496283341","3.50306549950579","3.50443977407067","0.000324415349531787","1.27867197818978","280.245239960463","flat","P1","2","freeplay"
"4709","4458","4593.65","4597.5","2129.59746835443","4301","367492","3.54765573409641","3.45845085701888","3.49585744316846","3.49268354674828","0.000475966062098729","1.79815244697027","279.668595453476","3.57360070515646","3.44920017293558","3.49890796049082","3.49787420347162","0.000408604958684152","1.69693165811235","279.912636839265","flat","P1","3","freeplay"
"4712","4421","4589.0125","4590.5","2958.26566455696","4043","367121","3.55431693989071","3.4548205793342","3.49850568552868","3.49655014479462","0.000451705310042331","1.63924681814322","279.880454842295","3.5496866606983","3.45586013382258","3.49990343410134","3.49929367044123","0.000351959098947865","1.50959450789966","279.992274728107","flat","P1","3","freeplay"
