"max","min","mean","median","var","totalvar","auc","Xmax","Xmin","Xmean","Xmedian","Xvar","Xtotalvar","Xauc","Ymax","Ymin","Ymean","Ymedian","Yvar","Ytotalvar","Yauc","subcondition","subject","filecount","gesture"
"4604","4574","4589.45","4592","87.1620253164557","119","367156","3.50731920471925","3.4966326308929","3.50133191325037","3.50087070107926","9.28425742059109e-06","0.0484848180079869","280.10655306003","3.50163220892274","3.49487682581208","3.4989938303918","3.49950931525474","2.99808259048137e-06","0.0478455427290649","279.919506431344","flat","P1b","3","freeplay"
"4613","4582","4600.8875","4602","49.6200949367089","134","368071","3.50545613269315","3.49761491760624","3.50076417055788","3.50092300421387","3.3712515714112e-06","0.046948836292978","280.061133644631","3.50552785605896","3.49880200392071","3.5019347513254","3.50168311855367","3.20926381184275e-06","0.0445568357265809","280.154780106032","flat","P1b","3","freeplay"
"4596","4537","4571.125","4570.5","265.45253164557","246","365690","3.52413489089707","3.497813729777","3.50697522353363","3.50501637701654","4.29039157258682e-05","0.0802130872793474","280.55801788269","3.50681318681319","3.49520069808028","3.50025458677653","3.50016384131318","6.34530096585793e-06","0.0733785942098284","280.020366942122","flat","P1b","4","freeplay"
"4612","4552","4583.2875","4581.5","209.903639240506","213","366663","3.52306678383128","3.49837345478204","3.50884977422798","3.50905915738922","3.236209609786e-05","0.0862911599129821","280.707981938239","3.50546089995631","3.49529643404069","3.5000427708471","3.5","5.7992463661955e-06","0.0527060379227793","280.003421667768","flat","P1b","4","freeplay"
"4605","4554","4576.4625","4577","239.542879746835","232","366117","3.51909569798068","3.50412684622068","3.51108985709909","3.51034249719229","1.92663068851223e-05","0.0683493611721482","280.887188567927","3.51338893766462","3.49858726363834","3.50397906143768","3.50333219030332","1.22693657403452e-05","0.0562644975922653","280.318324915015","flat","P1b","4","freeplay"
"4594","4553","4577.6","4579","109.787341772152","186","366208","3.52075554579398","3.50457117979974","3.51000785798928","3.50939480412355","1.5038366845803e-05","0.0685760930801802","280.800628639142","3.51261795040597","3.49411508282476","3.50153794633187","3.50103894518701","1.97304421569211e-05","0.0533951360328855","280.12303570655","flat","P1b","4","freeplay"
"4607","4579","4594.4375","4594","57.2365506329114","113","367555","3.50294695481336","3.49587136027814","3.49947199520307","3.49983628027255","2.99037587793472e-06","0.0510477075995852","279.957759616246","3.50393013100437","3.49696048632219","3.50029998018059","3.50021772271427","2.94763004007142e-06","0.0418977296074656","280.023998414447","flat","P1b","5","freeplay"
"4640","4551","4592","4586.5","584.354430379747","214","367360","3.50954575378538","3.49428756197456","3.49877824731816","3.49705689937509","2.00645577593026e-05","0.0592799436437974","279.902259785453","3.5140412461606","3.49749400740902","3.50301481449933","3.50130467640961","1.96680456504629e-05","0.0499547699275675","280.241185159946","flat","P1b","5","freeplay"
"4596","4551","4577.5","4580.5","120.481012658228","185","366200","3.52036593334785","3.49509269356598","3.50445779077473","3.50207969283652","4.50247928955418e-05","0.0764687177694694","280.356623261979","3.50833333333333","3.48281114012185","3.49897403782228","3.50185589740839","4.52669974661799e-05","0.065985045293083","279.917923025783","flat","P1b","5","freeplay"
"4588","4560","4575.8125","4577.5","58.559335443038","179","366065","3.5128877238969","3.4957264957265","3.50476227144708","3.50524572657178","2.22823538608252e-05","0.0691854589787062","280.380981715766","3.50295728368018","3.4878794496615","3.49698706464654","3.49764940660748","1.4968718482561e-05","0.0643582579363384","279.758965171723","flat","P1b","5","freeplay"
"4601","4566","4584.6625","4585","98.9606012658228","169","366773","3.5074398249453","3.49890877346137","3.50368895986154","3.50397906311196","3.39200337298302e-06","0.0531516977097399","280.295116788923","3.51477347340775","3.49760661444735","3.50513966108792","3.50436491946047","1.71861147705556e-05","0.0681056212532569","280.411172887034","flat","P1b","6","freeplay"
"4598","4558","4575.025","4571","121.366455696203","191","366002","3.51315789473684","3.5014245014245","3.50696948423808","3.50720527452411","9.79830285730061e-06","0.0551620871293466","280.557558739046","3.51755155770075","3.50240384615385","3.50816161521639","3.50726064785984","1.60470036507539e-05","0.0633514301230282","280.652929217311","flat","P1b","6","freeplay"
"4581","4553","4569.2875","4569","41.3719936708861","145","365543","3.50985113835377","3.49386503067485","3.50136166198409","3.50076687562035","1.94389044347381e-05","0.0673528175033726","280.108932958728","3.51658247309466","3.50437636761488","3.50940916616885","3.50873945106364","1.02352164948679e-05","0.0618091176849229","280.752733293508","flat","P1b","6","freeplay"
