"max","min","mean","median","var","totalvar","auc","Xmax","Xmin","Xmean","Xmedian","Xvar","Xtotalvar","Xauc","Ymax","Ymin","Ymean","Ymedian","Yvar","Ytotalvar","Yauc","subcondition","subject","filecount","gesture"
"4673","4470","4566.9375","4566","1992.84414556962","4393","365355","3.52581219403649","3.44485614646905","3.48934861457449","3.4905443803609","0.000300025653294618","1.43601292042674","279.147889165959","3.5212789415656","3.45380374862183","3.49119059144938","3.49098064341782","0.000209038366893198","1.27792259157267","279.29524731595","flat","1","-1","constant"
"4692","4516","4589.0875","4590.5","1663.32136075949","3394","367127","3.54006444683136","3.46040034812881","3.49824550414831","3.49813849105526","0.000299255057139585","1.48043557647681","279.859640331865","3.54350184421783","3.46235606731621","3.50205299393019","3.50086946905077","0.000311481147893567","1.36227192212568","280.164239514415","flat","1","-1","constant"
"4686","4504","4587.1875","4588","1342.35680379747","3304","366975","3.53514342018831","3.45814106789717","3.49567551052883","3.49322210037594","0.00027126412577995","1.51649439162619","279.654040842306","3.53185955786736","3.45115067303517","3.50259089417237","3.50186058949313","0.000306389416733773","1.48009020623865","280.207271533789","flat","1","-1","constant"
"4666","4512","4589.8125","4596.5","1562.28085443038","3967","367185","3.53164002627545","3.44747761519983","3.49417268036071","3.49549524646847","0.000269909734561148","1.43511875655218","279.533814428856","3.53796236210253","3.4727508650519","3.50597940488068","3.50536008482132","0.000238522349531099","1.28252424441579","280.478352390454","flat","1","-1","constant"
"4675","4496","4582.925","4587","1718.93101265823","4009","366634","3.54451166810717","3.4469746258946","3.49385037948883","3.49466685998369","0.000318654044277457","1.59861157142672","279.508030359106","3.54677980852916","3.46420021762786","3.50890011410674","3.51057955678698","0.000258725946232511","1.45228758351254","280.712009128539","flat","1","-1","constant"
"4702","4502","4587.4375","4582.5","1979.56566455696","4153","366995","3.54633830200907","3.46669531585733","3.50253207592884","3.50248632855889","0.000272939416125334","1.42125286630694","280.202566074308","3.54606256742179","3.44787985865724","3.4987499995714","3.50021724974275","0.000337036691087809","1.51437159721194","279.899999965712","flat","1","-1","freeplay"
"4703","4457","4585.55","4584.5","2322.27594936709","4216","366844","3.54253472222222","3.46078856152513","3.49961600078493","3.50137299785483","0.000314273458370336","1.4047161975457","279.969280062794","3.56086183918259","3.45143962183068","3.49963145713937","3.50000094600649","0.000376838612207998","1.56601263105672","279.970516571149","flat","1","-1","freeplay"
"4669","4484","4577.8875","4578","1709.62009493671","3657","366231","3.55355575065847","3.4487891579649","3.50912080687065","3.51005025173603","0.000469063869717924","1.53069435113414","280.729664549652","3.52760337735441","3.39683586025049","3.48230785512077","3.48603950909513","0.00072075252933585","1.56597732899788","278.584628409662","flat","1","-1","freeplay"
"4723","4460","4596.65","4590","2864.58481012658","4523","367732","3.55176961969664","3.45018693644161","3.50100483780005","3.50016569625098","0.000404055017925395","1.60042651891837","280.080387024004","3.53998280309544","3.44750908702159","3.49025157395841","3.49206712418844","0.000390160346084237","1.23673368797469","279.220125916673","flat","1","-1","freeplay"
"4682","4482","4596.2875","4605.5","1845.9289556962","3954","367703","3.5415404586759","3.46248354541466","3.5003828583554","3.50121008793893","0.000342387129989068","1.7193691801247","280.030628668432","3.52815364469664","3.44863315696649","3.4986494560834","3.4985961510843","0.000256156363073731","1.31895364959043","279.891956486672","flat","1","-1","freeplay"
"4744","4520","4606.2125","4604","1757.6125","3708","368497","3.55550820370765","3.44663347044815","3.5018134608458","3.50278618250829","0.00036142551874902","1.47300339847066","280.145076867664","3.54496090356212","3.46043956043956","3.49577178696215","3.49549932523617","0.000298277304075476","1.51490581197926","279.661742956972","flat","1","-1","freeplay"
"4725","4510","4605.775","4602","1754.32848101266","4066","368462","3.53622559652928","3.45478204294079","3.5006319030534","3.50314080089965","0.000313108820529275","1.50527495913828","280.050552244272","3.53210607056761","3.46074074074074","3.49831793770818","3.4978471235086","0.00022070740640115","1.2254675838075","279.865435016654","flat","1","-1","freeplay"
